text,category
how can I apply for a loan?,application
can I apply for a farm loan?,application
where can I apply for an loan?,application
can I eligible for applying loan?,eligibility
how can I eligible for crop loans?,eligibility
what  is eligibility criteria for applying loan?,eligibility
what are interest rates for loans?,interest
how can I determine the interest rates?,interest
How do interest rates vary for different types of loans?,interest
can  I apply for organic loans?,organic
is loan available for organic farming?,organic
Can I apply for a loan to start an organic farm?,organic
What are the repayment schedule for an agricultural loan?,repayment
How can I repay my farm loan?,repayment
Can I repay my agricultural loan in online?,repayment
"""What can you tell me about crop loans?""",croploan
"""How do I apply for a crop loan?""",croploan
"""Tell me about crop loan.""",croploan
"""How do I apply for a gold loan?""",goldloan
"""Can I get a gold loan online?""",goldloan
"""Tell me about the process for a gold loan.""",goldloan
"""What are the benefits of a credit loan?""",creditloan
"""How do credit loans work?""",creditloan
"""How can I apply for credit loans?""",creditloan
"""What are machinery loans used for?""",machinery
"""How do I apply for a machinery loan?""",machinery
is machinery loan available?,machinery
"""What is my profile information?""",profile
"""Show me my profile details.""",profile
"""How can I update my profile?""",profile
"""How can I edit a user's details?""",edituser
can I edit user details?,edituser
"""How do I change user details in the system?""",edituser
"""Can I delete a user from the system?""",deleteuser
"""How do I remove a user from the system?""",deleteuser
"""Tell me how to delete a user profile.""",deleteuser
hi,welcome
hello there,welcome
hey,welcome
